   18  100    0.005   -1.0
H        1    13.598    2    1     0.0
HE       2    24.587    1    2   -1.07
C        6    11.260    9    6   -3.56
N        7    14.534    4    9   -3.78
O        8    13.618    9    4   -2.80
A        9    12.268    9    6   -6.10
NA      11     5.139    2    1   -5.67
MG      12     7.646    1    2   -4.12
AL      13     5.986    6    1   -5.53
SI      14     8.151    9    6   -4.45
P       15    10.486    4    9   -6.55
S       16    10.360    9    4   -4.67
CA      20     6.113    1    2   -5.47
SC      21     6.561   10   15   -8.83
TI      22     6.828   21   28   -6.98
FE      26     7.902   25   30   -4.50
NI      28     7.639   21   10   -5.73
CU      29     7.726    2    1   -7.79
AN      1.28051E 01-8.27934E 00 6.41622E-02-7.36267E-03 3.46663E-042 91 71
CN      1.28051E 01-8.27934E 00 6.41622E-02-7.36267E-03 3.46663E-042 61 71
CAH     1.13401E 01-3.01442E 00 4.23487E-01-6.14674E-02 3.16392E-032201 11
MGO     1.17018E 01-5.03261E 00 2.96408E-01-4.28111E-02 2.20232E-032121 81
TIO     1.33981E 01-8.59562E 00 4.08726E-01-5.79369E-02 2.92873E-032221 81
MGH     1.12853E 01-2.71637E 00 1.96585E-01-2.73103E-02 1.38164E-032121 11
AC      1.28038E 01-6.51780E 00 9.77186E-02-1.27393E-02 6.26035E-042 91 61
AA      1.28038E 01-6.51780E 00 9.77186E-02-1.27393E-02 6.26035E-041 92
CC      1.28038E 01-6.51780E 00 9.77186E-02-1.27393E-02 6.26035E-041 62
HOH     2.54204E 01-1.05223E 01 1.69394E-01-1.83684E-02 8.17296E-042 12 81
ALH     1.21913E 01-3.76361E 00 2.55568E-01-3.72612E-02 1.94061E-032131 11
ALO     1.27393E 01-5.25336E 00 1.82177E-01-2.57927E-02 1.31850E-032131 81
AO      1.38200E 01-1.17953E 01 1.72167E-01-2.28885E-02 1.13491E-032 91 81
CO      1.38200E 01-1.17953E 01 1.72167E-01-2.28885E-02 1.13491E-032 61 81
AH      1.21355E 01-4.07599E 00 1.27676E-01-1.54727E-02 7.26615E-042 91 11
CH      1.21355E 01-4.07599E 00 1.27676E-01-1.54727E-02 7.26615E-042 61 11
AP      1.24988E 01-6.47155E 00 1.23609E-01-1.74113E-02 8.97797E-042 91151
CP      1.24988E 01-6.47155E 00 1.23609E-01-1.74113E-02 8.97797E-042 61151
AS      1.34357E 01-8.55736E 00 1.87544E-01-2.55069E-02 1.27346E-032 91161
CS      1.34357E 01-8.55736E 00 1.87544E-01-2.55069E-02 1.27346E-032 61161
NH      1.20327E 01-3.84349E 00 1.36286E-01-1.66427E-02 7.86913E-042 71 11
NO      1.28310E 01-7.19644E 00 1.73495E-01-2.30652E-02 1.13799E-032 71 81
NN      1.35903E 01-1.05855E 01 2.20671E-01-2.99975E-02 1.49927E-031 72
OH      1.23710E 01-5.05783E 00 1.38217E-01-1.65474E-02 7.72245E-042 81 11
OO      1.32282E 01-5.51807E 00 6.99354E-02-8.15109E-03 3.79699E-041 82
NAH     1.14155E 01-2.75079E 00 1.96460E-01-2.73828E-02 1.38445E-032111 11
SIF     1.24272E 01-5.83726E 00 1.66854E-01-2.27883E-02 1.13711E-032141 91
SIH     1.18522E 01-3.74185E 00 1.59988E-01-2.06292E-02 9.98967E-042141 11
SIO     1.34132E 01-8.87098E 00 1.50424E-01-1.95811E-02 9.48283E-042141 81
SIN     1.23989E 01-5.48756E 00 9.53008E-02-1.33693E-02 6.93956E-042141 71
PH      1.20802E 01-4.64388E 00 3.41137E-01-4.87959E-02 2.50567E-032151 11
CAO     1.22598E 01-6.05249E 00 5.82844E-01-8.58050E-02 4.44251E-032201 81
SCO     1.37467E 01-8.64196E 00 4.80722E-01-6.96697E-02 3.57468E-032211 81
FEO     1.29845E 01-5.33182E 00 3.17452E-01-4.45649E-02 2.25240E-032261 81
NIH     1.25203E 01-3.43307E 00 1.96303E-01-2.53774E-02 1.24117E-032281 11
CUH     1.21518E 01-3.91900E 00 3.09765E-01-4.33886E-02 2.19329E-032291 11
CUO     1.21756E 01-4.28270E 00 2.04849E-01-2.82166E-02 1.40747E-032291 81
HH      1.27388E 01-5.11717E 00 1.25720E-01-1.41494E-02 6.30214E-041 12

