 HE 10.99
  K  5.12
  U  0.49
 EU  0.51
 DY  1.14
 SI  7.55
 LI  1.16
 L7  1.16
 L6  1.16
 AL  6.47
 CA  6.36
 NA  6.33
 SC  3.17
  S  7.21
 TI  5.02
  V  4.00
 CR  5.67
 MN  5.39
 FE  7.50
 CO  4.92
 NI  6.25
 ZN  4.50
 SR  2.90
  Y  2.24
 ZR  2.60
 BA  2.13
 LA  1.22
 NB  1.42
  O  8.77
  C  8.52
  N  7.97
 MG  7.58
 CE  1.55
 ND  1.50
 SM  1.01
 CU  4.21
 GD  1.12
  W  1.11
 RU  1.84
 MO  1.92
 ER  0.93
 PR  0.71
 IR  1.35
 HF  0.88
 PD  1.69
 RH  1.12
 YB  1.08
 OS  1.45
  P  5.45
 TH  0.50
 AR  0.10
 NE  0.10
 LU  0.10
  F  0.10
 CL  0.10
 TA  0.10
 RE  0.10
 TB  0.10
 PB  1.95
 PT  1.80
 TM  0.01
 RE  0.01
 SN  0.01
  U  0.05
 GE  0.01
 SE  0.01
 TA  0.01
 BI  0.01
 RB  0.01
 LU  0.01
 GA  0.01
 XE  0.01
 TL  0.01
 SB  0.01
  I  0.01
 AS  0.01
 AG  0.01
 TE  0.01
 CS  0.01
 AU  0.01
 CD  0.01
 BE  1.40
 HO  0.01
  B  2.60
1
1
