   18  100   0.00500  -1.00000 Created using abed.py
 H       1    13.598    2    1   0.00000
HE       2    24.587    1    2  -1.07000
 C       6    11.260    9    6  -3.57000
 N       7    14.534    4    9  -4.17000
 O       8    13.618    9    4  -3.31000
 A       9    12.268    9    6  -5.50000
NA      11     5.139    2    1  -5.76000
MG      12     7.646    1    2  -4.40000
AL      13     5.986    6    1  -5.55000
SI      14     8.151    9    6  -4.49000
 P      15    10.486    4    9  -6.59000
 S      16    10.360    9    4  -4.88000
CA      20     6.113    1    2  -5.66000
SC      21     6.540   10   15  -8.85000
TI      22     6.820   21   28  -7.05000
FE      26     7.870   25   30  -4.50000
NI      28     7.635   21   10  -5.78000
CU      29     7.726    2    1  -7.81000
 AN     1.28051e+01-8.27934e+00 6.41622e-02-7.36267e-03 3.46663e-042 91 71
 CN     1.28051e+01-8.27934e+00 6.41622e-02-7.36267e-03 3.46663e-042 61 71
CAH     1.13401e+01-3.01442e+00 4.23487e-01-6.14674e-02 3.16392e-032201 11
MGO     1.17018e+01-5.03261e+00 2.96408e-01-4.28111e-02 2.20232e-032121 81
TIO     1.33981e+01-8.59562e+00 4.08726e-01-5.79369e-02 2.92873e-032221 81
MGH     1.12853e+01-2.71637e+00 1.96585e-01-2.73103e-02 1.38164e-032121 11
 AC     1.28038e+01-6.51780e+00 9.77186e-02-1.27393e-02 6.26035e-042 91 61
 AA     1.28038e+01-6.51780e+00 9.77186e-02-1.27393e-02 6.26035e-041 92
 CC     1.28038e+01-6.51780e+00 9.77186e-02-1.27393e-02 6.26035e-041 62
HOH     2.54204e+01-1.05223e+01 1.69394e-01-1.83684e-02 8.17296e-042 12 81
ALH     1.21913e+01-3.76361e+00 2.55568e-01-3.72612e-02 1.94061e-032131 11
ALO     1.27393e+01-5.25336e+00 1.82177e-01-2.57927e-02 1.31850e-032131 81
 AO     1.38200e+01-1.17953e+01 1.72167e-01-2.28885e-02 1.13491e-032 91 81
 CO     1.38200e+01-1.17953e+01 1.72167e-01-2.28885e-02 1.13491e-032 61 81
 AH     1.21355e+01-4.07599e+00 1.27676e-01-1.54727e-02 7.26615e-042 91 11
 CH     1.21355e+01-4.07599e+00 1.27676e-01-1.54727e-02 7.26615e-042 61 11
 AP     1.24988e+01-6.47155e+00 1.23609e-01-1.74113e-02 8.97797e-042 91151
 CP     1.24988e+01-6.47155e+00 1.23609e-01-1.74113e-02 8.97797e-042 61151
 AS     1.34357e+01-8.55736e+00 1.87544e-01-2.55069e-02 1.27346e-032 91161
 CS     1.34357e+01-8.55736e+00 1.87544e-01-2.55069e-02 1.27346e-032 61161
 NH     1.20327e+01-3.84349e+00 1.36286e-01-1.66427e-02 7.86913e-042 71 11
 NO     1.28310e+01-7.19644e+00 1.73495e-01-2.30652e-02 1.13799e-032 71 81
 NN     1.35903e+01-1.05855e+01 2.20671e-01-2.99975e-02 1.49927e-031 72
 OH     1.23710e+01-5.05783e+00 1.38217e-01-1.65474e-02 7.72245e-042 81 11
 OO     1.32282e+01-5.51807e+00 6.99354e-02-8.15109e-03 3.79699e-041 82
NAH     1.14155e+01-2.75079e+00 1.96460e-01-2.73828e-02 1.38445e-032111 11
SIF     1.24272e+01-5.83726e+00 1.66854e-01-2.27883e-02 1.13711e-032141 91
SIH     1.18522e+01-3.74185e+00 1.59988e-01-2.06292e-02 9.98967e-042141 11
SIO     1.34132e+01-8.87098e+00 1.50424e-01-1.95811e-02 9.48283e-042141 81
SIN     1.23989e+01-5.48756e+00 9.53008e-02-1.33693e-02 6.93956e-042141 71
 PH     1.20802e+01-4.64388e+00 3.41137e-01-4.87959e-02 2.50567e-032151 11
CAO     1.22598e+01-6.05249e+00 5.82844e-01-8.58050e-02 4.44251e-032201 81
SCO     1.37467e+01-8.64196e+00 4.80722e-01-6.96697e-02 3.57468e-032211 81
FEO     1.29845e+01-5.33182e+00 3.17452e-01-4.45649e-02 2.25240e-032261 81
NIH     1.25203e+01-3.43307e+00 1.96303e-01-2.53774e-02 1.24117e-032281 11
CUH     1.21518e+01-3.91900e+00 3.09765e-01-4.33886e-02 2.19329e-032291 11
CUO     1.21756e+01-4.28270e+00 2.04849e-01-2.82166e-02 1.40747e-032291 81
 HH     1.27388e+01-5.11717e+00 1.25720e-01-1.41494e-02 6.30214e-041 12


