  A  6.50 
 L6  1.16 
 L7  1.16 
 HE 10.99 
 LI  1.16 
 BE  1.40 
  B  2.60 
  C  8.55 
  N  7.97 
  O  8.77 
  F  0.10 
 NE  0.10 
 NA  6.33 
 MG  7.58 
 AL  6.47 
 SI  7.55 
  P  5.45 
  S  7.21 
 CL  0.10 
 AR  0.10 
  K  5.12 
 CA  6.46 
 SC  3.17 
 TI  5.02 
  V  4.00 
 CR  5.67 
 MN  5.39 
 FE  7.50 
 CO  4.92 
 NI  6.25 
 CU  4.21 
 ZN  4.60 
 GA  0.01 
 GE  0.01 
 AS  0.01 
 SE  0.01 
 BR  2.54
 KR  3.25
 RB  0.01 
 SR  2.90 
  Y  2.24 
 ZR  2.60 
 NB  1.42 
 MO  1.92 
 RU  1.84 
 RH  1.12 
 PD  1.69 
 AG  0.01 
 CD  0.01 
 IN  0.80
 SN  0.01 
 SB  0.01 
 TE  0.01 
  I  0.01 
 XE  0.01 
 CS  0.01 
 BA  2.13 
 LA  1.22 
 CE  1.55 
 PR  0.71 
 ND  1.50 
 SM  1.01 
 EU  0.51 
 GD  1.12 
 TB  0.10 
 DY  1.14 
 HO  0.01 
 ER  0.93 
 TM  0.01 
 YB  1.08 
 LU  0.10 
 HF  0.88 
 TA  0.10 
  W  1.11 
 RE  0.10 
 OS  1.45 
 IR  1.35 
 PT  1.80 
 AU  0.01 
 HG  1.17
 TL  0.01 
 PB  1.95 
 BI  0.01 
 TH  0.50 
  U  0.49 
1
1
