#   18  100    0.005   -1.0
H        1    13.598    2    1      0.0
HE       2    24.587    1    2     -1.0
C        6    11.260    9    6    -3.45
N        7    14.534    4    9    -4.22
O        8    13.618    9    4    -3.34
F        9    12.268    9    6    -7.44
NA      11     5.139    2    1    -5.83
MG      12     7.646    1    2    -4.47
AL      13     5.986    6    1    -5.63
SI      14     8.151    9    6    -4.49
P       15    10.486    4    9    -6.64
S       16    10.360    9    4    -4.86
CA      20     6.113    1    2    -5.69
SC      21      6.54   10   15    -8.83
TI      22      6.82   21   28    -7.10
FE      26     7.870   25   30    -4.50
NI      28     7.635   21   10    -5.77
CU      29     7.726    2    1    -7.79
#AN      1.28051E01 -8.27934E00 6.41622E-02 -7.36267E-03 3.46663E-04 2 91 71
#CN      1.28051E01 -8.27934E00 6.41622E-02 -7.36267E-03 3.46663E-04 2 61 71
#CAH     1.13401E01 -3.01442E00 4.23487E-01 -6.14674E-02 3.16392E-03 2201 11
#MGO     1.17018E01 -5.03261E00 2.96408E-01 -4.28111E-02 2.20232E-03 2121 81
#TIO     1.33981E01 -8.59562E00 4.08726E-01 -5.79369E-02 2.92873E-03 2221 81
#MGH     1.12853E01 -2.71637E00 1.96585E-01 -2.73103E-02 1.38164E-03 2121 11
#AC      1.28038E01 -6.51780E00 9.77186E-02 -1.27393E-02 6.26035E-04 2 91 61
#AA      1.28038E01 -6.51780E00 9.77186E-02 -1.27393E-02 6.26035E-04 1 92
#CC      1.28038E01 -6.51780E00 9.77186E-02 -1.27393E-02 6.26035E-04 1 62
#HOH     2.54204E01 -1.05223E01 1.69394E-01 -1.83684E-02 8.17296E-04 2 12 81
#ALH     1.21913E01 -3.76361E00 2.55568E-01 -3.72612E-02 1.94061E-03 2131 11
#ALO     1.27393E01 -5.25336E00 1.82177E-01 -2.57927E-02 1.31850E-03 2131 81
#AO      1.38200E01 -1.17953E01 1.72167E-01 -2.28885E-02 1.13491E-03 2 91 81
#CO      1.38200E01 -1.17953E01 1.72167E-01 -2.28885E-02 1.13491E-03 2 61 81
#AH      1.21355E01 -4.07599E00 1.27676E-01 -1.54727E-02 7.26615E-04 2 91 11
#CH      1.21355E01 -4.07599E00 1.27676E-01 -1.54727E-02 7.26615E-04 2 61 11
#AP      1.24988E01 -6.47155E00 1.23609E-01 -1.74113E-02 8.97797E-04 2 91151
#CP      1.24988E01 -6.47155E00 1.23609E-01 -1.74113E-02 8.97797E-04 2 61151
#AS      1.34357E01 -8.55736E00 1.87544E-01 -2.55069E-02 1.27346E-03 2 91161
#CS      1.34357E01 -8.55736E00 1.87544E-01 -2.55069E-02 1.27346E-03 2 61161
#NH      1.20327E01 -3.84349E00 1.36286E-01 -1.66427E-02 7.86913E-04 2 71 11
#NO      1.28310E01 -7.19644E00 1.73495E-01 -2.30652E-02 1.13799E-03 2 71 81
#NN      1.35903E01 -1.05855E01 2.20671E-01 -2.99975E-02 1.49927E-03 1 72
#OH      1.23710E01 -5.05783E00 1.38217E-01 -1.65474E-02 7.72245E-04 2 81 11
#OO      1.32282E01 -5.51807E00 6.99354E-02 -8.15109E-03 3.79699E-04 1 82
#NAH     1.14155E01 -2.75079E00 1.96460E-01 -2.73828E-02 1.38445E-03 2111 11
#SIF     1.24272E01 -5.83726E00 1.66854E-01 -2.27883E-02 1.13711E-03 2141 91
#SIH     1.18522E01 -3.74185E00 1.59988E-01 -2.06292E-02 9.98967E-04 2141 11
#SIO     1.34132E01 -8.87098E00 1.50424E-01 -1.95811E-02 9.48283E-04 2141 81
#SIN     1.23989E01 -5.48756E00 9.53008E-02 -1.33693E-02 6.93956E-04 2141 71
#PH      1.20802E01 -4.64388E00 3.41137E-01 -4.87959E-02 2.50567E-03 2151 11
#CAO     1.22598E01 -6.05249E00 5.82844E-01 -8.58050E-02 4.44251E-03 2201 81
#SCO     1.37467E01 -8.64196E00 4.80722E-01 -6.96697E-02 3.57468E-03 2211 81
#FEO     1.29845E01 -5.33182E00 3.17452E-01 -4.45649E-02 2.25240E-03 2261 81
#NIH     1.25203E01 -3.43307E00 1.96303E-01 -2.53774E-02 1.24117E-03 2281 11
#CUH     1.21518E01 -3.91900E00 3.09765E-01 -4.33886E-02 2.19329E-03 2291 11
#CUO     1.21756E01 -4.28270E00 2.04849E-01 -2.82166E-02 1.40747E-03 2291 81
#HH      1.27388E01 -5.11717E00 1.25720E-01 -1.41494E-02 6.30214E-04 1 12

